172518829,data\ca\154973\182784\173052129.html,Hearthstone Inn Sydney,"The stay overall was very good, only downfall was that the windows in the room did not open, but no problem. The food in the restuarant part of the inn left something to be desired. Very bland , but the service inside the resturant was excellent",4,positive
173052129,data\ca\154973\182784\173462430.html,Hearthstone Inn Sydney,"Conveniently located on the main strip of Kings road. If you look out of the windows on an angle to the right, you might glimpse the water. Be prepared for stairs! Breakfast included some hot menu items. It was different in that you have to stop by the front desk for a breakfast voucher and then proceed to the on site restaurant. There were a limited amount of items from which to choose and only given one egg -- looks like small when scrambled. In fact, all portions were small for a big appetite. The gym had a funky smell so we avoided it. It needs better circulation. The kids liked the pool because it had balls and pool noodles to add to the fun. It is a bit expensive for the class of hotel but we found all the hotels in Sydney were on the expensive side.",3,negative
173462430,data\ca\154973\182784\174387120.html,Hearthstone Inn Sydney,"My friends and I stayed here while we were visiting Cape Breton Island. Location of hotel was great (main road of Sydney), but we were less than impressed with the quality of our room. We could hear the water pipes of the rooms surrounding us, the tub wouldn't drain when we were showering, the taps of the sink wouldn't provide consistent water temperature, and we had trouble sleeping as we could hear people entering and exiting the hotel outside our door. Come to think of it, the back entry door remained propped open all day long as well - a security issue. Staff was great to us; very friendly and welcoming, but overall, not our best hotel experience during our trip.",2,negative
174452986,data\ca\154973\182784\175480997.html,Hearthstone Inn Sydney,"I found this hotel to be very run down. There was a musty smell...hallways were dark and carpet was very badly stained...the paint was peeling all over the place. I have been told though, in the near future this hotel will be renovated. The front desk and cleaning staff were very helpful.",2,negative
178618103,data\ca\154973\182784\179124427.html,Hearthstone Inn Sydney,The carpets were stained and could do with a good clean. We had trouble with the plumbing in our room which took them two days to fix. The only plus was the breakfast the staff and food was very good. The bar was disappointing they were out of red wine for two nights.,2,negative
179124427,data\ca\154973\182784\179979467.html,Hearthstone Inn Sydney,"We decided kind of last minute that we wanted to go on a road trip for Labor day weekend. we discussed a couple places and settled on Sydney so we could visit Louisbourg and Two rivers wildlife park. After checking trip adviser and the availability of several hotels in the area we decided on Quality Inn. We got a great deal for staying 2 nights.  The website listed a mini fridge as an amenity in the rooms so we brought food in a cooler to save some money and were quite disappointed to find that our room did not have a fridge.  We did like the courtyard and enjoyed a picnic supper out there. The kids couldn't wait to get to the pool. I found the water cold so I sat and watched the kids play. There were a couple boys soccer and baseball teams staying at the hotel for the night and a bunch of the boys were in the pool that night and were being very rowdy, the adults with them did not stop them. There were no towels in the pool area.  For Breakfast you have to stop at the front desk and get vouchers to take to the restaurant, they give you a menu and you are able to pick 1 item from one section and 2 items from the other section, coffee and tea are included but milk and juice are extra which they dont tell you until after you ask for it. My husband picked the sausages (you get 2), egg (you only get 1) and home fries, they sent it out on an oval plate and it looked so empty I thought he was going to cry. He only got half the amount of fries that our 7 year old got (about a handful).The waitress came and gave him a second cup of coffee but I wasn't ready for more yet, then when I was ready I couldn't get her attention. It did seem quite busy though. Our second night at the hotel the pool wasn't very busy, still no towels though, I had to get some from the fitness room. Monday morning the restaurant wasn't as busy. My husband ordered what our son had the day before (fish cake, pancakes and home fries) and was a bit more full after eating. We had a different waitress. She was quite friendly but when she came around refilling coffee she poured my husband's and walked away and I couldn't get her attention to tell her I wanted more.  They need to do something different with the breakfasts and get mini fridges in all the rooms since they list it as an amenity.",3,negative
179979467,data\ca\154973\182784\181032679.html,Hearthstone Inn Sydney,"We spent two days and the breakfast room was a disappointment both days. The first morning the wait to be acknowledged and get a menu was a little long; the second was unreasonably long. There was one server each day and even when the desk clerk pitched in to help it was slo-o-w. What staff there was were polite and apologetic. Clearly they were doing their best; there just were not enough of them. Unlike Traveling Jennee, we had to pay for our coffee.",2,negative
181032679,data\ca\154973\182784\181451312.html,Hearthstone Inn Sydney,Recently booked in this Quality Inn for 10 days on business. The hotel is under renovations but (they) didn't interfere with the day to day stay. The rooms are comfortable and a fair size. We ate the free breakfast every morning... 3 choices from a menu. The food was hot and very good... the service was also some of the best I have had in awhile. Thank you Veronica! My only complaint is you have to pay for the coffee -- which should be included :-) We had a few minor issues initially which I reported to the front desk and then later to the GM Trevor M who took our issues very personally and quickly rectified the problems. We were graciously compensated for being locked out of your room the 2nd last night (had to move rooms)  The front desk staff need a bit of polishing in customer service skills but all in all the hotel is easy to find/clean and obviously the GM takes complaints very seriously.  Would definitely stay here again!,4,positive
213340964,data\ca\154973\182784\213631517.html,Hearthstone Inn Sydney,"Excellent staff were there to help out with even the simplest of questions. Would have avoided the pool even if there was time to visit it. However, clean room and simple layout with breakfast that was served quick and made it worth the stay for the semi-reasonable price.",4,positive
215355860,data\ca\154973\182784\219816599.html,Hearthstone Inn Sydney,"We had always stayed at this hotel when it was quality inn and were very pleased.,however our last stay on June 27th was a big dissapointment .The quality inn used to have a nice restaurant and we always had a very nice dinner there so this time we even invited friends to join us . The dining room was not opened and we had to go to the pub where the food was terrible . Then when we checked out I KNOW I know I left a small charger for my dell tablet on the bedside table and called the next day and was told by the girl she couldnt check and maids were gone so they would call me in am .I waited and no call came .I made 3 calls in all as I was unable to use my device .By the time I finally got to talk to someone of course it was not there ......Needless to say we will NOT be returning to that hotel on our next trip to Sydney !",2,negative
